CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,# universidad,NOMBRE_INSTITUCIÓN,ESTADO_INSTITUCIÓN,CARÁCTER_ACADÉMICO,SECTOR,codigoprograma,NOMBRE_DEL_PROGRAMA,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.17,ESPECIALIZACION EN INTERVENTORIA Y SUPERVISIÓN DE LA CONSTRUCCION,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.19,ESPECIALIZACIÓN EN NEGOCIOS GLOBALES E INNOVACIÓN,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.20,ESPECIALIZACION EN REVISORIA FISCAL Y AUDITORIA EXTERNA,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.21,ESPECIALIZACION EN SEGURIDAD SOCIAL,,,,,,,,,,,,,,,,
1704,1705,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.22,MAESTRÍA EN DIRECCIÓN Y GESTIÓN DE PROYECTOS,,,,,,,,,,,,,,,,
1704,1732,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.23,DOCTORADO EN DERECHO PÚBLICO,,,,,,,,,,,,,,,,
1704,1732,22,UNIVERSIDAD SANTO TOMAS,Activa,Universidad,Privado,22.24,ESPECIALIZACIÓN EN GERENCIA ESTRATÉGICA DE COSTOS,,,,,,,,,,,,,,,,
1706,1706,23,UNIVERSIDAD EXTERNADO DE COLOMBIA,Activa,Universidad,Privado,23.2,ESPECIALIZACIÓN EN SOSTENIBILIDAD DE INSTITUCIONES CULTURALES,,,,,,,,,,,,,,,,
1706,1706,23,UNIVERSIDAD EXTERNADO DE COLOMBIA,Activa,Universidad,Privado,23.3,MAESTRÍA EN ESTUDIOS TRANSDISCIPLINARIOS EN SALUD,,,,,,,,,,,,,,,,
1706,1706,23,UNIVERSIDAD EXTERNADO DE COLOMBIA,Activa,Universidad,Privado,23.4,MAESTRÍA EN REGULACIÓN ENERGÉTICA,,,,,,,,,,,,,,,,
1707,1707,24,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,Activa,Universidad,Privado,24.1,ESPECIALIZACIÓN EN DERECHO DEL MEDIO AMBIENTE,,,,,,,,,,,,,,,,
1709,1709,25,UNIVERSIDAD CENTRAL,Activa,Universidad,Privado,25.1,ESPECIALIZACIÓN EN PUBLICIDAD DIGITAL,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.1,ESPECIALIZACION EN COMUNICACIÓN Y PERIODISMO DIGITAL,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.2,ESPECIALIZACIÓN EN ESTRATEGIA GERENCIAL Y PROSPECTIVA,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.3,ESPECIALIZACIÓN EN GERENCIA,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.4,ESPECIALIZACION EN GERENCIA PUBLICA,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.5,ESPECIALIZACIÓN PROCESOS TEXTILES DE ALTO VALOR,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.6,MAESTRIA EN CIENCIAS NATURALES Y MATEMÁTICA,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.7,MAESTRIA EN COMUNICACION DIGITAL,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.8,MAESTRIA EN EDUCACION,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.9,MAESTRIA EN EDUCACION,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.10,MAESTRIA EN EDUCACION,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.11,MAESTRIA EN GESTION ESTRATÉGICA DE LA INFORMACIÓN Y EL CONOCIMIENTO,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.12,MAESTRIA EN LITERATURA,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.13,MAESTRIA EN PROCESOS DE APRENDIZAJE Y ENSEÑANZA DE SEGUNDAS LENGUAS,,,,,,,,,,,,,,,,
1710,1710,26,UNIVERSIDAD PONTIFICIA BOLIVARIANA,Activa,Universidad,Privado,26.14,MAESTRIA EN PSICOPEDAGOGIA,,,,,,,,,,,,,,,,
